County,Combined,Area Acre,Year
Powhatan,Developed             ,11535,2021
Powhatan,Double cropped     ,362,2021
Powhatan,Forages                 ,25854,2021
Powhatan,Forested                ,113753,2021
Powhatan,Horticulture crops*,5,2021
Powhatan,Other                   ,352,2021
Powhatan,Row crops             ,6314,2021
Powhatan,Small grains         ,187,2021
Powhatan,Tree crops*           ,1,2021
Powhatan,Water                   ,1308,2021
Powhatan,Wetlands               ,8014,2021
Goochland,Developed             ,17264,2021
Goochland,Double cropped     ,1474,2021
Goochland,Forages                 ,27870,2021
Goochland,Forested                ,118880,2021
Goochland,Horticulture crops*,16,2021
Goochland,Other                   ,754,2021
Goochland,Row crops             ,8624,2021
Goochland,Small grains         ,117,2021
Goochland,Tree crops            ,0,2021
Goochland,Water                   ,4086,2021
Goochland,Wetlands               ,6837,2021
Powhatan,Developed             ,5801,2012
Powhatan,Double cropped     ,981,2012
Powhatan,Forages                 ,23836,2012
Powhatan,Forested                ,127138,2012
Powhatan,Horticulture crops*,2,2012
Powhatan,Other                   ,575,2012
Powhatan,Row crops             ,4329,2012
Powhatan,Small grains         ,130,2012
Powhatan,Tree crops*           ,1,2012
Powhatan,Water                   ,1298,2012
Powhatan,Wetlands               ,3593,2012
Goochland,Developed             ,13536,2012
Goochland,Double cropped     ,2739,2012
Goochland,Forages                 ,26354,2012
Goochland,Forested                ,129456,2012
Goochland,Horticulture crops*,5,2012
Goochland,Other                   ,958,2012
Goochland,Row crops             ,5317,2012
Goochland,Small grains         ,121,2012
Goochland,Tree crops*           ,1,2012
Goochland,Water                   ,4066,2012
Goochland,Wetlands               ,3369,2012
