"year","county","name","values"
2017,"Powhatan ","belowHigh",30341
2017,"Powhatan ","high",37312
2017,"Powhatan ","someCollege",41434
2017,"Powhatan ","bachelors",60813
2017,"Powhatan ","gradSchool",81318
2017,"Powhatan ","belowHigh",30341
2017,"Powhatan ","high",37312
2017,"Powhatan ","someCollege",41434
2017,"Powhatan ","bachelors",60813
2017,"Powhatan ","gradSchool",81318
2018,"Powhatan ","belowHigh",40000
2018,"Powhatan ","high",39257
2018,"Powhatan ","someCollege",43866
2018,"Powhatan ","bachelors",64167
2018,"Powhatan ","gradSchool",82535
2018,"Powhatan ","belowHigh",40000
2018,"Powhatan ","high",39257
2018,"Powhatan ","someCollege",43866
2018,"Powhatan ","bachelors",64167
2018,"Powhatan ","gradSchool",82535
2019,"Powhatan ","belowHigh",36458
2019,"Powhatan ","high",41175
2019,"Powhatan ","someCollege",50063
2019,"Powhatan ","bachelors",68953
2019,"Powhatan ","gradSchool",83371
2019,"Powhatan ","belowHigh",36458
2019,"Powhatan ","high",41175
2019,"Powhatan ","someCollege",50063
2019,"Powhatan ","bachelors",68953
2019,"Powhatan ","gradSchool",83371
2020,"Powhatan ","belowHigh",22708
2020,"Powhatan ","high",43319
2020,"Powhatan ","someCollege",47083
2020,"Powhatan ","bachelors",66716
2020,"Powhatan ","gradSchool",66915
2020,"Powhatan ","belowHigh",22708
2020,"Powhatan ","high",43319
2020,"Powhatan ","someCollege",47083
2020,"Powhatan ","bachelors",66716
2020,"Powhatan ","gradSchool",66915
2017,"Goochland","belowHigh",16875
2017,"Goochland","high",31875
2017,"Goochland","someCollege",34151
2017,"Goochland","bachelors",62500
2017,"Goochland","gradSchool",94669
2017,"Goochland","belowHigh",16875
2017,"Goochland","high",31875
2017,"Goochland","someCollege",34151
2017,"Goochland","bachelors",62500
2017,"Goochland","gradSchool",94669
2018,"Goochland","belowHigh",22985
2018,"Goochland","high",35236
2018,"Goochland","someCollege",36510
2018,"Goochland","bachelors",64187
2018,"Goochland","gradSchool",82563
2018,"Goochland","belowHigh",22985
2018,"Goochland","high",35236
2018,"Goochland","someCollege",36510
2018,"Goochland","bachelors",64187
2018,"Goochland","gradSchool",82563
2019,"Goochland","belowHigh",24279
2019,"Goochland","high",35959
2019,"Goochland","someCollege",40520
2019,"Goochland","bachelors",64329
2019,"Goochland","gradSchool",65890
2019,"Goochland","belowHigh",24279
2019,"Goochland","high",35959
2019,"Goochland","someCollege",40520
2019,"Goochland","bachelors",64329
2019,"Goochland","gradSchool",65890
2020,"Goochland","belowHigh",25250
2020,"Goochland","high",33218
2020,"Goochland","someCollege",34792
2020,"Goochland","bachelors",63596
2020,"Goochland","gradSchool",75313
2020,"Goochland","belowHigh",25250
2020,"Goochland","high",33218
2020,"Goochland","someCollege",34792
2020,"Goochland","bachelors",63596
2020,"Goochland","gradSchool",75313
