"year","county","variable","estimate","oldcat","inccat"
2017,"Powhatan ","below10k",3.6,"below10k","<35K"
2017,"Powhatan ","bet10kand15k",1.2,"bet10kand15k","<35K"
2017,"Powhatan ","bet15kand25k",4.8,"bet15kand25k","<35K"
2017,"Powhatan ","bet25kand35k",7,"bet25kand35k","<35K"
2017,"Powhatan ","bet35kand50k",9.6,"bet35kand50k","35K - 50K"
2017,"Powhatan ","bet50kand74k",19.4,"bet50kand74k","50K - 75K"
2017,"Powhatan ","bet75kand100k",17.9,"bet75kand100k","75K-100K"
2017,"Powhatan ","bet100kand150k",20.5,"bet100kand150k",">100K"
2017,"Powhatan ","bet150kand200k",8.1,"bet150kand200k",">100K"
2017,"Powhatan ","above200k",7.8,"above200k",">100K"
2018,"Powhatan ","below10k",2.8,"below10k","<35K"
2018,"Powhatan ","bet10kand15k",1.2,"bet10kand15k","<35K"
2018,"Powhatan ","bet15kand25k",5.6,"bet15kand25k","<35K"
2018,"Powhatan ","bet25kand35k",5.9,"bet25kand35k","<35K"
2018,"Powhatan ","bet35kand50k",9,"bet35kand50k","35K - 50K"
2018,"Powhatan ","bet50kand74k",18.2,"bet50kand74k","50K - 75K"
2018,"Powhatan ","bet75kand100k",18.8,"bet75kand100k","75K-100K"
2018,"Powhatan ","bet100kand150k",21.4,"bet100kand150k",">100K"
2018,"Powhatan ","bet150kand200k",8.6,"bet150kand200k",">100K"
2018,"Powhatan ","above200k",8.5,"above200k",">100K"
2019,"Powhatan ","below10k",2.8,"below10k","<35K"
2019,"Powhatan ","bet10kand15k",1.4,"bet10kand15k","<35K"
2019,"Powhatan ","bet15kand25k",4.9,"bet15kand25k","<35K"
2019,"Powhatan ","bet25kand35k",5.5,"bet25kand35k","<35K"
2019,"Powhatan ","bet35kand50k",8.9,"bet35kand50k","35K - 50K"
2019,"Powhatan ","bet50kand74k",16.7,"bet50kand74k","50K - 75K"
2019,"Powhatan ","bet75kand100k",16.6,"bet75kand100k","75K-100K"
2019,"Powhatan ","bet100kand150k",22.5,"bet100kand150k",">100K"
2019,"Powhatan ","bet150kand200k",10.5,"bet150kand200k",">100K"
2019,"Powhatan ","above200k",10.1,"above200k",">100K"
2020,"Powhatan ","below10k",2.1,"below10k","<35K"
2020,"Powhatan ","bet10kand15k",1.4,"bet10kand15k","<35K"
2020,"Powhatan ","bet15kand25k",5.3,"bet15kand25k","<35K"
2020,"Powhatan ","bet25kand35k",4.6,"bet25kand35k","<35K"
2020,"Powhatan ","bet35kand50k",7.8,"bet35kand50k","35K - 50K"
2020,"Powhatan ","bet50kand74k",15.4,"bet50kand74k","50K - 75K"
2020,"Powhatan ","bet75kand100k",16.9,"bet75kand100k","75K-100K"
2020,"Powhatan ","bet100kand150k",23.4,"bet100kand150k",">100K"
2020,"Powhatan ","bet150kand200k",13.3,"bet150kand200k",">100K"
2020,"Powhatan ","above200k",9.7,"above200k",">100K"
2017,"Goochland","below10k",3.2,"below10k","<35K"
2017,"Goochland","bet10kand15k",3.6,"bet10kand15k","<35K"
2017,"Goochland","bet15kand25k",5.5,"bet15kand25k","<35K"
2017,"Goochland","bet25kand35k",5.5,"bet25kand35k","<35K"
2017,"Goochland","bet35kand50k",9.6,"bet35kand50k","35K - 50K"
2017,"Goochland","bet50kand74k",15.4,"bet50kand74k","50K - 75K"
2017,"Goochland","bet75kand100k",13.1,"bet75kand100k","75K-100K"
2017,"Goochland","bet100kand150k",19.4,"bet100kand150k",">100K"
2017,"Goochland","bet150kand200k",9.2,"bet150kand200k",">100K"
2017,"Goochland","above200k",15.4,"above200k",">100K"
2018,"Goochland","below10k",3.1,"below10k","<35K"
2018,"Goochland","bet10kand15k",4.2,"bet10kand15k","<35K"
2018,"Goochland","bet15kand25k",5.2,"bet15kand25k","<35K"
2018,"Goochland","bet25kand35k",5.5,"bet25kand35k","<35K"
2018,"Goochland","bet35kand50k",7.9,"bet35kand50k","35K - 50K"
2018,"Goochland","bet50kand74k",15.7,"bet50kand74k","50K - 75K"
2018,"Goochland","bet75kand100k",12.3,"bet75kand100k","75K-100K"
2018,"Goochland","bet100kand150k",21.8,"bet100kand150k",">100K"
2018,"Goochland","bet150kand200k",9.2,"bet150kand200k",">100K"
2018,"Goochland","above200k",15.1,"above200k",">100K"
2019,"Goochland","below10k",4,"below10k","<35K"
2019,"Goochland","bet10kand15k",4.3,"bet10kand15k","<35K"
2019,"Goochland","bet15kand25k",5.3,"bet15kand25k","<35K"
2019,"Goochland","bet25kand35k",4.7,"bet25kand35k","<35K"
2019,"Goochland","bet35kand50k",7.4,"bet35kand50k","35K - 50K"
2019,"Goochland","bet50kand74k",14.5,"bet50kand74k","50K - 75K"
2019,"Goochland","bet75kand100k",12.4,"bet75kand100k","75K-100K"
2019,"Goochland","bet100kand150k",21.8,"bet100kand150k",">100K"
2019,"Goochland","bet150kand200k",8.6,"bet150kand200k",">100K"
2019,"Goochland","above200k",16.9,"above200k",">100K"
2020,"Goochland","below10k",3.7,"below10k","<35K"
2020,"Goochland","bet10kand15k",4,"bet10kand15k","<35K"
2020,"Goochland","bet15kand25k",4.6,"bet15kand25k","<35K"
2020,"Goochland","bet25kand35k",3.8,"bet25kand35k","<35K"
2020,"Goochland","bet35kand50k",6.3,"bet35kand50k","35K - 50K"
2020,"Goochland","bet50kand74k",15.3,"bet50kand74k","50K - 75K"
2020,"Goochland","bet75kand100k",13.3,"bet75kand100k","75K-100K"
2020,"Goochland","bet100kand150k",20.5,"bet100kand150k",">100K"
2020,"Goochland","bet150kand200k",10.2,"bet150kand200k",">100K"
2020,"Goochland","above200k",18.4,"above200k",">100K"
